OrderID,OrderDate,Region,Country,State,Category,SubCategory,Product,Customer,Quantity,SalesAmount,Profit
8974152,2022-12-31 15:44:44.007220,Central,Monaco,North Dakota,Peripherals,Home,Noise-Canceling Headphones,Dean Santiago,4,103.11,135.84
2353031,2024-06-08 15:44:44.007220,North,Germany,Kansas,Electronics,Home,Graphics Tablet,Carlos Brewer,1,107.32,42.14
2707983,2024-06-24 15:44:44.007220,East,Kuwait,Massachusetts,Fitness,Accessories,Gaming Chair,Taylor Smith,1,99.97,11.99
3515796,2024-06-07 15:44:44.007220,Central,Niger,Oregon,Office,Peripherals,Mechanical Keyboard,Angel Lewis MD,5,44.05,124.39
1648511,2025-04-30 15:44:44.007220,East,Venezuela,Minnesota,Electronics,Electronics,Gaming Chair,Sherry Wood,5,57.36,17.17
2294789,2024-06-03 15:44:44.007220,South,Cayman Islands,New Hampshire,Home,Office,Graphics Tablet,Michele Carr,6,160.46,109.77
7275395,2023-01-03 15:44:44.007220,North,Sri Lanka,Tennessee,Electronics,Home,4K Monitor,Mary Spencer,5,53.49,93.75
9253486,2023-02-26 15:44:44.007220,East,Venezuela,Texas,Fitness,Fitness,4K Monitor,Shawn Baker,2,52.79,36.05
7310624,2023-09-02 15:44:44.007220,North,Tuvalu,Connecticut,Peripherals,Peripherals,Mechanical Keyboard,Brittney Campbell,10,152.51,70.62
6103042,2024-02-18 15:44:44.007220,South,Cote d'Ivoire,Virginia,Home,Electronics,Ergonomic Desk,Michael Farrell,4,90.72,172.21
9493286,2025-03-26 15:44:44.007220,Central,Macedonia,New York,Home,Accessories,Webcam 1080p,Terry Williams,4,38.71,82.93
2826327,2023-12-12 15:44:44.007220,West,Norfolk Island,Nevada,Electronics,Accessories,Gaming Chair,Amanda Cook,5,47.35,113.95
7007400,2024-05-06 15:44:44.007220,East,Bulgaria,South Dakota,Accessories,Home,Noise-Canceling Headphones,Candice Ramos,9,83.56,129.42
6517985,2023-03-04 15:44:44.007220,West,Romania,Nevada,Accessories,Accessories,LED Desk Lamp,Ashley Landry,9,54.16,-5.89
5966294,2024-08-31 15:44:44.007220,South,Portugal,Georgia,Accessories,Electronics,Laptop Stand,Sandra Aguilar,7,51.64,54.22
6785149,2024-10-17 15:44:44.007220,East,Cameroon,Nevada,Electronics,Peripherals,Ergonomic Desk,Eric Nolan,4,99.87,108.12
8646409,2025-03-12 15:44:44.007220,Central,South Africa,Arizona,Peripherals,Electronics,Noise-Canceling Headphones,Christine Wright,4,103.4,36.46
4482463,2023-12-15 15:44:44.007220,Central,Bosnia and Herzegovina,Minnesota,Peripherals,Electronics,Noise-Canceling Headphones,Stacey Russell,10,93.22,16.42
7390770,2024-11-21 15:44:44.007220,East,Nicaragua,West Virginia,Office,Fitness,NVMe SSD 2TB,Timothy Hancock,7,151.94,148.97
2040214,2025-02-10 15:44:44.007220,Central,South Georgia and the South Sandwich Islands,Idaho,Accessories,Peripherals,Mechanical Keyboard,Allison Doyle,5,39.39,28.73
7415831,2022-12-18 15:44:44.007220,Central,Grenada,Nebraska,Fitness,Home,Laptop Stand,Sharon Cochran,6,108.06,100.43
6210622,2025-05-16 15:44:44.007220,North,Ethiopia,Hawaii,Home,Peripherals,Tripod,Ashley Brennan,8,122.61,316.16
5366630,2023-08-27 15:44:44.007220,East,Togo,New Mexico,Fitness,Peripherals,Fitness Band,Robert Stevens,6,200.04,144.29
5572441,2025-03-18 15:44:44.007220,East,Gambia,Iowa,Fitness,Accessories,Laptop Stand,Matthew Ross,6,74.5,130.54
7153918,2025-01-29 15:44:44.007220,South,Fiji,California,Fitness,Fitness,Portable Charger 20k mAh,Diana May,2,99.39,33.64
6912810,2022-12-15 15:44:44.007220,East,Iran,Utah,Peripherals,Accessories,Fitness Band,Ms. Teresa Wilson,1,360.97,-27.04
9830529,2024-10-04 15:44:44.007220,West,Eritrea,Idaho,Office,Office,Laptop Stand,Victoria Johnson,2,70.2,89.81
8676076,2025-08-10 15:44:44.007220,South,Nauru,Nevada,Home,Electronics,Portable Charger 20k mAh,Richard Graham,1,67.82,150.34
8747849,2024-10-31 15:44:44.007220,North,Madagascar,Delaware,Accessories,Home,Portable Charger 20k mAh,Kenneth Scott,1,229.57,92.71
3868844,2024-01-26 15:44:44.007220,South,Russian Federation,Nevada,Electronics,Electronics,Webcam 1080p,Timothy Ryan,1,58.08,97.99
8071465,2023-05-13 15:44:44.007220,West,Saint Helena,West Virginia,Office,Home,Microphone USB,Christina Reynolds,1,377.44,195.6
3362081,2025-02-08 15:44:44.007220,West,Yemen,Texas,Office,Accessories,4K Monitor,Lisa Alvarado,4,26.71,96.19
193026,2023-07-21 15:44:44.007220,West,British Virgin Islands,Washington,Accessories,Accessories,NVMe SSD 2TB,Katie Estrada,6,68.94,-15.15
7893853,2023-03-27 15:44:44.007220,Central,Greece,Montana,Accessories,Electronics,LED Desk Lamp,Kristen Lee,1,121.87,136.95
2337058,2025-07-23 15:44:44.007220,Central,Papua New Guinea,Missouri,Fitness,Fitness,Gaming Chair,Stephanie Gilbert,3,73.66,65.93
7525149,2025-10-13 15:44:44.007220,West,Gabon,Montana,Fitness,Office,External SSD 1TB,April Mitchell,2,259.63,109.3
8063715,2025-06-23 15:44:44.007220,East,Jersey,Pennsylvania,Accessories,Home,Bluetooth Speaker,Erica Ramos,5,112.89,184.08
8845959,2025-09-02 15:44:44.007220,South,Peru,Indiana,Peripherals,Office,USB-C Hub,Rebecca Moyer,4,36.18,55.95
4893722,2024-04-08 15:44:44.007220,East,Saint Pierre and Miquelon,Hawaii,Peripherals,Peripherals,Graphics Tablet,Diane Beck,2,78.07,197.32
1451868,2023-09-24 15:44:44.007220,South,Nicaragua,Michigan,Accessories,Office,4K Monitor,Trevor Young,1,12.87,23.54
3689533,2023-04-25 15:44:44.007220,West,Georgia,Iowa,Office,Peripherals,Graphics Tablet,Brittany Williams,1,27.19,6.99
7916912,2025-04-14 15:44:44.007220,North,Lebanon,South Carolina,Accessories,Office,Smartwatch,Angel Perry,4,69.13,92.84
9899226,2023-01-24 15:44:44.007220,Central,Niue,Oregon,Office,Office,Wireless Mouse,Michael Snyder,2,93.23,225.88
6001533,2024-08-17 15:44:44.007220,West,Ecuador,Georgia,Office,Fitness,Graphics Tablet,Abigail Potter,7,49.95,112.73
3800025,2025-09-09 15:44:44.007220,South,Sierra Leone,Connecticut,Peripherals,Office,Router AX3000,Colleen Brock,1,79.72,88.65
586955,2025-02-18 15:44:44.007220,East,Qatar,North Dakota,Home,Home,Smartwatch,Justin Lowery,4,96.36,124.73
2868991,2025-07-29 15:44:44.007220,South,British Virgin Islands,New Jersey,Fitness,Fitness,Wireless Mouse,John Schmidt,2,62.24,211.68
6710562,2023-02-08 15:44:44.007220,North,Moldova,Rhode Island,Home,Office,4K Monitor,Pedro Ramos,4,82.18,120.3
7846014,2023-12-22 15:44:44.007220,North,Suriname,Washington,Peripherals,Office,Gaming Chair,Jessica Meadows,9,67.23,97.46
3651070,2025-07-03 15:44:44.007220,East,Kiribati,Hawaii,Peripherals,Office,Bluetooth Speaker,Karen Green,2,63.2,135.98
7172684,2024-05-14 15:44:44.007220,North,Egypt,South Dakota,Office,Electronics,Graphics Tablet,Richard Washington,1,159.37,172.15
973851,2024-11-30 15:44:44.007220,South,Dominican Republic,Louisiana,Home,Electronics,Mechanical Keyboard,Micheal Young,7,146.6,122.78
620596,2024-05-04 15:44:44.007220,South,Grenada,Massachusetts,Electronics,Fitness,4K Monitor,Angela Hernandez,2,125.34,42.39
4102120,2023-08-30 15:44:44.007220,West,Hungary,Vermont,Home,Electronics,Microphone USB,Daniel Perry,6,88.9,92.04
3756838,2025-07-24 15:44:44.007220,East,Greenland,Ohio,Peripherals,Accessories,Tripod,Antonio Wall,2,60.25,154.72
2021542,2023-11-15 15:44:44.007220,East,Iceland,Wyoming,Electronics,Fitness,Wireless Mouse,Melissa Gates,9,79.0,150.93
5333774,2025-01-21 15:44:44.007220,West,Serbia,Oregon,Home,Accessories,USB-C Hub,Aaron Bell,6,70.47,100.7
4174336,2023-07-11 15:44:44.007220,East,Sao Tome and Principe,Missouri,Home,Fitness,Noise-Canceling Headphones,Tiffany Barnes,8,197.02,86.26
9594772,2023-03-09 15:44:44.007220,East,San Marino,West Virginia,Fitness,Office,Ergonomic Desk,Lindsey Walker,2,77.98,136.24
1256902,2025-10-16 15:44:44.007220,East,Cyprus,Louisiana,Electronics,Office,Router AX3000,Allen Rogers,1,109.34,77.19
1870648,2025-05-20 15:44:44.007220,East,Philippines,Montana,Home,Office,4K Monitor,Sara Calhoun,9,283.55,148.91
7406261,2023-12-10 15:44:44.007220,Central,Niger,Ohio,Home,Peripherals,Tripod,James Elliott,3,49.22,12.15
9129043,2025-08-31 15:44:44.007220,West,Anguilla,Colorado,Office,Home,Microphone USB,Brandy Murray,5,142.94,125.02
4602929,2024-10-05 15:44:44.007220,South,Australia,Kentucky,Electronics,Peripherals,LED Desk Lamp,Daniel Murphy,6,89.36,31.16
4191349,2025-07-23 15:44:44.007220,Central,Senegal,Missouri,Fitness,Home,Smartwatch,Trevor Fisher,1,25.69,191.23
5743798,2023-02-11 15:44:44.007220,West,Syrian Arab Republic,Colorado,Peripherals,Accessories,Router AX3000,Paul Williams,8,54.86,65.72
3658780,2024-12-10 15:44:44.007220,East,Zambia,Minnesota,Peripherals,Peripherals,Tripod,Barry Bernard,1,130.1,166.47
4735017,2023-01-04 15:44:44.007220,Central,Armenia,Wisconsin,Accessories,Electronics,Webcam 1080p,David Combs,1,104.27,54.58
6918732,2025-09-10 15:44:44.007220,Central,Niger,Georgia,Accessories,Home,Router AX3000,John Wilson,1,125.9,137.35
8334615,2025-06-19 15:44:44.007220,North,Yemen,Indiana,Electronics,Peripherals,Webcam 1080p,David Wood,1,37.76,0.55
6884725,2024-04-26 15:44:44.007220,East,Netherlands,Rhode Island,Home,Fitness,Ergonomic Desk,Michelle Strickland,6,60.43,166.61
8039993,2025-12-06 15:44:44.007220,East,Central African Republic,Maryland,Office,Home,Graphics Tablet,Alexander Collins,1,108.48,173.52
5649757,2024-12-04 15:44:44.007220,West,Philippines,Missouri,Peripherals,Peripherals,Bluetooth Speaker,Miguel Jones,3,75.08,84.73
3967786,2023-08-19 15:44:44.007220,South,Portugal,South Dakota,Peripherals,Electronics,Graphics Tablet,Michael Turner,3,109.25,35.37
3206298,2024-01-11 15:44:44.007220,South,Poland,Rhode Island,Home,Office,Bluetooth Speaker,Rebecca Knight,6,120.98,90.33
9991626,2025-11-23 15:44:44.007220,Central,Armenia,Minnesota,Peripherals,Electronics,Laptop Stand,Mary Jones,2,136.19,60.93
5070190,2024-03-24 15:44:44.007220,East,Oman,Michigan,Accessories,Peripherals,Wireless Mouse,Jason Henry,2,93.86,144.01
9061299,2023-08-31 15:44:44.007220,East,Jersey,Mississippi,Electronics,Electronics,Graphics Tablet,Sandra Zimmerman,10,95.45,38.62
5001239,2023-08-30 15:44:44.007220,West,Jordan,Idaho,Electronics,Electronics,Microphone USB,Tracie Nelson,9,352.64,109.37
4870422,2025-08-02 15:44:44.007220,West,Sri Lanka,Ohio,Office,Peripherals,External SSD 1TB,Julie Petersen,5,327.64,38.96
961958,2024-05-15 15:44:44.007220,West,Namibia,Louisiana,Electronics,Electronics,Smartwatch,David Michael,4,84.22,143.58
8350138,2023-05-15 15:44:44.007220,Central,Fiji,New Hampshire,Home,Home,Mechanical Keyboard,John Bishop,4,54.39,49.04
2645556,2023-10-16 15:44:44.007220,Central,Hong Kong,Michigan,Peripherals,Electronics,Webcam 1080p,Samuel White,3,167.26,-23.61
2087287,2025-04-15 15:44:44.007220,Central,Croatia,Minnesota,Fitness,Fitness,Webcam 1080p,Gina Beard,1,110.5,197.57
8867312,2025-02-01 15:44:44.007220,West,Reunion,Louisiana,Office,Peripherals,Microphone USB,Kellie Lee,2,126.83,143.23
7294570,2024-08-31 15:44:44.007220,Central,Dominican Republic,Washington,Fitness,Electronics,Tripod,Justin Allen,1,40.77,194.89
1764863,2024-02-13 15:44:44.007220,South,Lebanon,Tennessee,Peripherals,Home,USB-C Hub,Joan Smith,9,86.13,68.07
2734980,2024-04-19 15:44:44.007220,South,French Polynesia,Iowa,Fitness,Electronics,External SSD 1TB,David Beck,6,32.2,166.23
144891,2025-03-30 15:44:44.007220,West,Heard Island and McDonald Islands,New Mexico,Home,Fitness,Router AX3000,Hailey Barajas,9,106.21,101.72
4986520,2023-02-19 15:44:44.007220,South,Mayotte,Michigan,Peripherals,Home,Portable Charger 20k mAh,Jesse Parker,3,34.58,49.04
7717381,2023-05-09 15:44:44.007220,South,Djibouti,Delaware,Peripherals,Home,Microphone USB,Emily Newton,1,105.18,103.14
3418855,2025-05-03 15:44:44.007220,North,Zambia,Wisconsin,Fitness,Accessories,4K Monitor,Cheryl Rodgers,10,90.3,87.82
4556573,2023-10-02 15:44:44.007220,North,Falkland Islands (Malvinas),Washington,Electronics,Accessories,Portable Charger 20k mAh,Paige Carlson,6,74.6,-10.95
9649709,2024-07-28 15:44:44.007220,West,Bolivia,Illinois,Electronics,Office,Portable Charger 20k mAh,Isaac Turner,1,96.75,115.87
6852972,2024-06-24 15:44:44.007220,Central,Russian Federation,Ohio,Fitness,Office,LED Desk Lamp,Angel Brown,2,170.08,177.48
1449590,2023-03-06 15:44:44.007220,West,French Guiana,Vermont,Home,Peripherals,Tripod,Margaret Mullins,2,109.88,40.09
4300476,2023-02-05 15:44:44.007220,North,Bosnia and Herzegovina,Alabama,Accessories,Home,Microphone USB,Julie Alexander,3,96.44,178.08
9950288,2023-01-26 15:44:44.007220,East,Colombia,Arkansas,Fitness,Electronics,External SSD 1TB,Scott Wilson,7,309.96,190.32
7993693,2025-11-11 15:44:44.007220,West,Bahrain,Montana,Peripherals,Accessories,Microphone USB,Kenneth Parks Jr.,7,48.8,68.85
7412936,2025-09-17 15:44:44.007220,North,Sudan,Oregon,Office,Peripherals,Fitness Band,Angela Wright,1,132.59,167.12
5691986,2024-10-02 15:44:44.007220,North,Micronesia,Wisconsin,Accessories,Peripherals,Fitness Band,Kyle Montgomery,5,69.39,64.46
8412590,2024-07-27 15:44:44.007220,West,Singapore,North Dakota,Fitness,Electronics,LED Desk Lamp,Terry Evans,1,169.87,-20.52
1577398,2024-09-19 15:44:44.007220,East,Myanmar,Nevada,Peripherals,Electronics,Smartwatch,Marc Lynch,2,153.18,76.78
8733492,2022-12-17 15:44:44.007220,Central,Saint Vincent and the Grenadines,Connecticut,Office,Office,Mechanical Keyboard,Christine Clark,2,221.72,89.45
3247112,2025-11-10 15:44:44.007220,East,Panama,Colorado,Fitness,Office,LED Desk Lamp,Christopher Jones,2,162.22,104.84
965901,2024-02-04 15:44:44.007220,East,Afghanistan,Nebraska,Fitness,Accessories,Portable Charger 20k mAh,Kirk Carter,9,32.39,81.67
7450368,2025-09-02 15:44:44.007220,North,Djibouti,Maine,Electronics,Home,Tripod,Michele Gibson,3,89.68,109.19
4114745,2023-11-04 15:44:44.007220,East,Poland,Iowa,Fitness,Electronics,Graphics Tablet,Rachel Weber,2,41.15,125.18
6944947,2023-06-23 15:44:44.007220,South,Panama,Illinois,Electronics,Office,Noise-Canceling Headphones,Joshua Holland,1,46.49,114.26
2683206,2025-09-30 15:44:44.007220,East,United States of America,Louisiana,Fitness,Home,Bluetooth Speaker,Andrea Martin,2,86.69,142.31
7070771,2025-08-29 15:44:44.007220,West,Gambia,Rhode Island,Accessories,Office,Graphics Tablet,Laura Roberts,5,68.85,56.46
2526689,2025-02-07 15:44:44.007220,South,British Virgin Islands,New Jersey,Fitness,Fitness,4K Monitor,Melissa Bender,1,65.49,37.43
1271218,2024-07-02 15:44:44.007220,West,Macao,Ohio,Peripherals,Fitness,Bluetooth Speaker,Bobby Williams MD,1,38.07,73.51
143037,2024-07-16 15:44:44.007220,East,Gibraltar,Rhode Island,Fitness,Fitness,Router AX3000,Brandon Hayden,2,292.61,87.12
2593017,2025-06-16 15:44:44.007220,Central,Taiwan,Oregon,Office,Peripherals,Gaming Chair,Alicia Hubbard,1,122.58,157.28
9359637,2025-01-25 15:44:44.007220,West,Swaziland,Louisiana,Peripherals,Accessories,Webcam 1080p,Pamela Thompson,1,84.15,71.74
9693172,2025-02-06 15:44:44.007220,South,Malaysia,Tennessee,Office,Electronics,Gaming Chair,Donald Shea,6,57.87,119.77
8035224,2025-02-02 15:44:44.007220,West,Jordan,South Dakota,Home,Home,4K Monitor,Tracy Harrison,1,76.32,-53.12
8410235,2023-02-28 15:44:44.007220,South,Ireland,Michigan,Fitness,Fitness,Gaming Chair,Brian Martin,4,61.81,-46.53
1783838,2025-06-03 15:44:44.007220,North,Isle of Man,Vermont,Fitness,Office,Wireless Mouse,Matthew Morales DDS,6,127.22,103.68
2518526,2025-04-02 15:44:44.007220,South,Argentina,New Jersey,Electronics,Office,Bluetooth Speaker,David Wilson,3,50.23,89.77
5780114,2025-03-08 15:44:44.007220,North,Sierra Leone,Montana,Peripherals,Home,Graphics Tablet,Samantha Smith,3,34.33,97.21
6475499,2024-09-23 15:44:44.007220,West,Trinidad and Tobago,Ohio,Fitness,Electronics,Tripod,Anthony Stone,2,80.47,82.13
1247909,2024-04-08 15:44:44.007220,East,Niger,Wisconsin,Accessories,Home,USB-C Hub,Mr. Anthony Adams Jr.,2,61.07,20.11
7380833,2023-07-04 15:44:44.007220,North,France,New Hampshire,Office,Accessories,Portable Charger 20k mAh,Kari Johnson,1,102.61,139.63
585654,2023-03-19 15:44:44.007220,East,Niue,Rhode Island,Electronics,Peripherals,Ergonomic Desk,Michelle Collins,5,89.59,173.8
6388789,2025-05-15 15:44:44.007220,South,American Samoa,Oklahoma,Accessories,Fitness,Fitness Band,Danny Skinner,1,374.13,145.87
9594697,2023-12-18 15:44:44.007220,South,Brazil,New Jersey,Accessories,Electronics,Tripod,Maria Moore,6,48.31,73.58
6518028,2024-04-21 15:44:44.007220,West,Venezuela,Virginia,Fitness,Accessories,Webcam 1080p,Michael Perry,2,207.98,6.42
7836811,2024-05-18 15:44:44.007220,West,Liberia,New Mexico,Peripherals,Home,Wireless Mouse,Juan Reyes,4,38.89,118.78
7905654,2024-07-26 15:44:44.007220,Central,Uruguay,Rhode Island,Accessories,Electronics,LED Desk Lamp,Sherry Shields,1,68.38,47.44
5897629,2024-08-18 15:44:44.007220,West,Falkland Islands (Malvinas),Wyoming,Home,Peripherals,LED Desk Lamp,Jennifer Villa,1,63.09,33.16
5168760,2024-01-26 15:44:44.007220,West,Macedonia,Louisiana,Office,Electronics,Webcam 1080p,Diane Evans,1,20.05,126.08
6498231,2024-12-19 15:44:44.007220,Central,Myanmar,Pennsylvania,Peripherals,Home,Portable Charger 20k mAh,Mrs. Brittany Ryan MD,10,77.99,30.55
468085,2025-03-04 15:44:44.007220,East,Mexico,Wisconsin,Electronics,Fitness,Mechanical Keyboard,Jordan Morris,9,103.79,101.41
8433700,2024-07-23 15:44:44.007220,South,Comoros,Vermont,Fitness,Peripherals,Webcam 1080p,James Chase,2,121.58,26.35
3289885,2024-05-11 15:44:44.007220,South,Isle of Man,Arizona,Home,Electronics,Mechanical Keyboard,John Mcintyre,8,306.74,182.18
5283033,2025-06-04 15:44:44.007220,North,Hong Kong,Missouri,Fitness,Peripherals,4K Monitor,Rebecca Pearson MD,2,60.49,119.24
1612187,2024-08-10 15:44:44.007220,East,Argentina,Florida,Home,Office,External SSD 1TB,Leslie Kane,2,106.47,-79.46
